form	count	english candidates	example
impureza	4	enjoyment (0.33), greediness (0.29), ledge (0.25), slothfulness (0.22)	2 Néfi 9:14 — Wherefore, we shall have a perfect know ledge of all our guilt, and our uncleanness, and our nakedness; and the righteous shall have a perfect knowled
bem-amado	4	well-beloved (0.50), brigham (0.33), dear (0.14), required (0.05)	2 Néfi 15:1 — And then will I sing to my well–beloved a song of my beloved, touching his vineyard. My well–beloved hath a vineyard in a very fruitful hill.
tamboril	4	tabret (0.44), timbrel (0.44), viol (0.29), operation (0.25)	2 Néfi 15:12 — And the harp, and the viol, the tabret, and pipe, and wine are in their feasts; but they regard not the work of the Lord, neither consider the operati
pederneira	4	horses' (0.57), flint (0.50), flinty (0.40), hoofs (0.33)	2 Néfi 15:28 — Whose arrows shall be sharp, and all their bows bent, and their horses' hoofs shall be counted like flint, and their wheels like a whirlwind, their ro
tição	4	brand (0.40), torch (0.40), firebrand (0.33), firebrands (0.25)	2 Néfi 17:4 — And say unto him: Take heed, and be quiet; fear not, neither be faint– hearted for the two tails of these smoking firebrands, for the fierce anger of 
tenebrosa	4	coloring (0.40), prosecutions (0.40), pretensions (0.40), blackest (0.40)	2 Néfi 30:17 — There is nothing which is secret save it shall be revealed; there is no work of darkness save it shall be made manifest in the light; and there is not
mulo	4	mule (0.44), rode (0.12), oak (0.12), boughs (0.11)	2 Samuel 13:29 — And the servants of Absalom did unto Amnon as Absalom had commanded. Then all the king's sons arose, and every man gat him up upon his mule, and fled.
vau	4	ferry (0.40), ford (0.40), womenservants (0.29), absalom's (0.22)	2 Samuel 17:20 — And when Absalom's servants came to the woman to the house, they said, Where is Ahimaaz and Jonathan? And the woman said unto them, They be gone over 
jota	4	jot (1.00), tittle (0.89), faults (0.17), whit (0.11)	3 Néfi 1:25 — But it came to pass that they soon became converted, and were convinced of the error which they were in, for it was made known unto them that the law 
residência	4	residence (0.80), locate (0.40), neighborhood (0.29), resides (0.20)	Abraão 1:1 — In the land of the Chaldeans , at the residence of my fathers, I, Abraham , saw that it was needful for me to obtain another place of residence ;
razoável	4	abstinence (0.40), reasonable (0.33), pamphylia (0.22), crete (0.22)	Atos 6:2 — Then the twelve called the multitude of the disciples unto them, and said, It is not reason that we should leave the word of God, and serve tables.
efésios	4	ephesians (1.00), diana (0.75), townclerk (0.50), worshipper (0.40)	Atos 19:28 — And when they heard these sayings, they were full of wrath, and cried out, saying, Great is Diana of the Ephesians.
tribunos	4	festus' (0.40), estates (0.33), bernice (0.29), birthday (0.29)	Atos 25:23 — And on the morrow, when Agrippa was come, and Bernice, with great pomp, and was entered into the place of hearing, with the chief captains, and princi
pastagens	4	feedingplace (0.40), cottages (0.40), whelp (0.29), folds (0.22)	Alma 17:39 — And when he had driven them afar off, he returned and they watered their flocks and returned them to the pasture of the king, and then went in unto th
devassidão	4	refined (0.17), leading (0.15), whoredoms (0.14), causing (0.13)	Alma 30:18 — And thus he did preach unto them, leading away the hearts of many, causing them to lift up their heads in their wickedness, yea, leading away many wom
estrépito	4	stamping (0.40), rumbling (0.40), feebleness (0.40), rattling (0.40)	Amós 5:23 — Take thou away from me the noise of thy songs; for I will not hear the melody of thy viols.
grandiosamente	4	continents (0.50), compose (0.50), documents (0.50), publishing (0.25)	Daniel 7:8 — I considered the horns, and, behold, there came up among them another little horn, before whom there were three of the first horns plucked up by the r
broquel	4	manfully (0.40), buckler (0.38), handling (0.33), bucklers (0.20)	Doutrina e Convênios 35:14 — And their arm shall be my arm, and I will be their shield and their buckler; and I will gird up their loins, and they shall fight manfully for me; and
incrédulo	4	whoremonger (0.33), sorcerer (0.29), upbraided (0.29), faithless (0.25)	Doutrina e Convênios 38:14 — But now I tell it unto you, and ye are blessed, not because of your iniquity, neither your hearts of unbelief; for verily some of you are guilty befor
mercantil	4	mercantile (1.00), establishment (0.60), ashery (0.50), situated (0.40)	Doutrina e Convênios 104:39 — And again, let my servant Newel K. Whitney have appointed unto him the houses and lot where he now resides, and the lot and building on which the merc
west	4	twenty-sixth (0.40), building-spot (0.40), april (0.22), marks (0.20)	Doutrina e Convênios 115:7 — Let the city, Far West, be a holy and consecrated land unto me; and it shall be called most holy, for the ground upon which thou standest is holy .
comilão	4	glutton (0.67), gluttonous (0.67), winebibber (0.67), drunkard (0.44)	Deuteronômio 21:20 — And they shall say unto the elders of his city, This our son is stubborn and rebellious, he will not obey our voice; he is a glutton, and a drunkard.
ombreira	4	post (0.43), aul (0.40), thresholds (0.33), threshold (0.24)	Êxodo 21:6 — Then his master shall bring him unto the judges; he shall also bring him to the door, or unto the door post; and his master shall bore his ear through
aríetes	4	battering (0.80), fort (0.40), engines (0.40), axes (0.20)	Ezequiel 4:2 — And lay siege against it, and build a fort against it, and cast a mount against it; set the camp also against it, and set battering rams against it ro
meujael	4	methusael (1.00), irad (0.80), mehujael (0.67), mahujael (0.67)	Gênesis 4:18 — And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
metusael	4	methusael (1.00), irad (0.80), mehujael (0.67), mahujael (0.67)	Gênesis 4:18 — And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
om	4	asenath (0.86), poti-pherah (0.86), zaphnath-paaneah (0.40), peleth (0.33)	Gênesis 41:45 — And Pharaoh called Joseph's name Zaphnath-paaneah; and he gave him to wife Asenath the daughter of Poti-pherah priest of On. And Joseph went out over 
agoureiros	4	stargazers (0.40), monthly (0.40), prognosticators (0.40), enchanters (0.40)	Isaías 2:6 — Therefore thou hast forsaken thy people the house of Jacob, because they be replenished from the east, and are soothsayers like the Philistines, and t
endro	4	cummin (1.00), fitches (0.67), anise (0.50), omitted (0.50)	Isaías 28:25 — When he hath made plain the face thereof, doth he not cast abroad the fitches, and scatter the cummin, and cast in the principal wheat and the appoint
canseira	4	stoopeth (0.40), loaden (0.40), snuffed (0.33), bel (0.29)	Isaías 46:1 — Bel boweth down, Nebo stoopeth, their idols were upon the beasts, and upon the cattle: your carriages were heavy loaden; they are a burden to the wear
espinheiro	4	bramble (0.67), brier (0.33), myrtle (0.22), thorn (0.20)	Isaías 55:13 — Instead of the thorn shall come up the fir tree, and instead of the brier shall come up the myrtle tree: and it shall be to the LORD for a name, for a
naamatita	4	zophar (1.00), naamathite (1.00), bildad (0.44), shuhite (0.44)	Jó 2:11 — Now when Job's three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad t
noa	4	mahlah (1.00), hoglah (1.00), zelophehad (0.62), milcah (0.53)	Josué 17:3 — But Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, had no sons, but daughters: and these are the names of h
anthon	4	pocket (1.00), professor (0.80), anthon (0.80), celebrated (0.67)	Joseph Smith—História 1:64 — “I went to the city of New York, and presented the characters which had been translated, with the translation thereof, to Professor Charles Anthon, a 
cusã-risataim	4	chushan-rishathaim (1.00), mesopotamia (0.44), hot (0.06), prevailed (0.05)	Juízes 3:8 — Therefore the anger of the LORD was hot against Israel, and he sold them into the hand of Chushan-rishathaim king of Mesopotamia: and the children of 
matate	4	matthat (1.00), janna (0.67), jose (0.67), jorim (0.67)	Lucas 3:24 — Which was the son of Matthat, which was the son of Levi, which was the son of Melchi, which was the son of Janna, which was the son of Joseph,
melqui	4	melchi (1.00), janna (0.67), addi (0.67), cosam (0.67)	Lucas 3:24 — Which was the son of Matthat, which was the son of Levi, which was the son of Melchi, which was the son of Janna, which was the son of Joseph,
matatias	4	mattathias (1.00), naum (0.67), esli (0.67), nagge (0.67)	Lucas 3:25 — Which was the son of Mattathias, which was the son of Amos, which was the son of Naum, which was the son of Esli, which was the son of Nagge,
salatiel	4	zorobabel (0.80), salathiel (0.80), rhesa (0.67), neri (0.67)	Lucas 3:27 — Which was the son of Joanna, which was the son of Rhesa, which was the son of Zorobabel, which was the son of Salathiel, which was the son of Neri,
ceifeiros	4	labourers (0.33), reapers (0.31), barn (0.25), bundles (0.22)	Mateus 9:37 — Then saith he unto his disciples, The harvest truly is plenteous, but the labourers are few;
amaldiçoante	4	rot (0.44), swell (0.36), thigh (0.17), causeth (0.14)	Números 5:22 — And this water that causeth the curse shall go into thy bowels, to make thy belly to swell, and thy thigh to rot: And the woman shall say, Amen, amen.
jetur	3	jetur (1.00), naphish (0.80), kedemah (0.80), nephish (0.50)	1 Crônicas 1:31 — Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
jecamias	3	jekamiah (0.67), malchiram (0.67), shenazar (0.67), jecamiah (0.67)	1 Crônicas 2:41 — And Shallum begat Jekamiah, and Jekamiah begat Elishama.
naará	3	naarah (1.00), ahuzam (0.67), temeni (0.67), haahashtari (0.67)	1 Crônicas 4:5 — And Ashur the father of Tekoa had two wives, Helah and Naarah.
hagarenos	3	hagarites (1.00), nephish (0.50), nodab (0.50), jetur (0.33)	1 Crônicas 5:10 — And in the days of Saul they made war with the Hagarites, who fell by their hand: and they dwelt in their tents throughout all the east land of Gilead
janai	3	shapham (0.67), jaanai (0.67), janna (0.67), matthat (0.50)	1 Crônicas 5:12 — Joel the chief, and Shapham the next, and Jaanai, and Shaphat in Bashan.
jaflete	3	japhlet (1.00), hotham (0.67), pasach (0.67), bimhal (0.67)	1 Crônicas 7:32 — And Heber begat Japhlet, and Shomer, and Hotham, and Shua their sister.
abiúde	3	addar (0.67), abihud (0.67), abiud (0.67), azor (0.50)	1 Crônicas 8:3 — And the sons of Bela were, Addar, and Gera, and Abihud,
pelonita	3	pelonite (1.00), helez (0.57), shammoth (0.50), harorite (0.50)	1 Crônicas 11:27 — Shammoth the Harorite, Helez the Pelonite,
maarai	3	maharai (1.00), netophathite (0.60), heled (0.50), zalmon (0.40)	1 Crônicas 11:30 — Maharai the Netophathite, Heled the son of Baanah the Netophathite,
beraca	3	berachah (1.00), shemaah (0.67), gibeathite (0.67), jeziel (0.67)	1 Crônicas 12:3 — The chief was Ahiezer, then Joash, the sons of Shemaah the Gibeathite; and Jeziel, and Pelet, the sons of Azmaveth; and Berachah, and Jehu the Antothi
tírios	3	ware (0.22), masons (0.20), zidonians (0.17), carpenters (0.17)	1 Crônicas 22:4 — Also cedar trees in abundance: for the Zidonians and they of Tyre brought much cedar wood to David.
subael	3	shubael (1.00), jehdeiah (0.50), amram (0.13), thirteenth (0.11)	1 Crônicas 24:20 — And the rest of the sons of Levi were these: Of the sons of Amram; Shubael: of the sons of Shubael; Jehdeiah.
izaritas	3	izharites (1.00), shelomoth (0.50), amramites (0.40), uzzielites (0.40)	1 Crônicas 24:22 — Of the Izharites; Shelomoth: of the sons of Shelomoth; Jahath.
